pred_original,pred_perturbed,delta
18.383612,18.383612,0.0
0.13069896,0.13069896,0.0
12.457872,11.437937,1.0199356
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
156.70094,156.70094,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
186.08896,186.10095,0.011993408
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
3482.6067,3322.0996,160.50708
3.6036577,3.6036577,0.0
4.831192,4.831192,0.0
0.9153478,0.17056234,0.7447855
0.13069896,0.13069896,0.0
61.640285,61.583073,0.05721283
28.014736,29.602936,1.5881996
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
1.765477,0.98459226,0.7808847
381.76642,393.0541,11.287689
0.13069896,0.13069896,0.0
0.17272769,0.17272769,0.0
0.13069896,0.13069896,0.0
0.95737725,0.95737725,0.0
147.48119,150.78833,3.3071442
0.13069896,0.13069896,0.0
4.349123,4.349123,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
6.843499,5.8471875,0.99631166
75.46653,79.83417,4.3676376
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
632.3605,667.14166,34.78119
415.31262,403.6351,11.677521
29.62277,29.497887,0.12488365
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
41.65593,40.1546,1.5013313
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
22.835047,22.835047,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.17272769,0.17272769,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.17272769,0.17272769,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
17.032642,17.032642,0.0
0.13069896,0.13069896,0.0
1142.7867,1144.9708,2.184082
402.79602,405.99738,3.201355
0.13069896,0.13069896,0.0
841.8684,843.4214,1.5529785
0.13069896,0.13069896,0.0
21.113474,19.9313,1.1821747
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
181.9395,179.34196,2.5975342
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
10.900808,10.900808,0.0
39.472023,38.522938,0.94908524
4955.0674,4999.029,43.961426
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.17272769,0.17272769,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
88.8968,83.31049,5.5863037
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
50.21418,48.3408,1.8733788
4.5002575,3.6456857,0.8545718
1.807505,1.807505,0.0
12.79588,12.79588,0.0
0.13069896,0.13069896,0.0
2.7105503,1.807505,0.9030453
0.13069896,0.13069896,0.0
73.90565,79.39233,5.486679
0.17272769,0.17272769,0.0
11.082886,10.511222,0.57166386
0.13069896,0.13069896,0.0
109.07139,109.32996,0.25857544
0.13069896,0.13069896,0.0
0.17272769,0.17272769,0.0
707.0492,693.694,13.355225
0.13069896,0.13069896,0.0
281.28653,294.1829,12.896362
55.44372,57.391724,1.9480019
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
5.661005,5.661005,0.0
3.8883774,2.9853156,0.90306187
3993.6133,4075.7974,82.18408
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
546.0743,546.53796,0.46368408
148.4797,143.20682,5.272888
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
93.470955,95.48098,2.010025
0.13069896,0.13069896,0.0
67779.69,64640.094,3139.5938
0.95737725,0.95737725,0.0
0.13069896,0.13069896,0.0
0.95737725,0.21259098,0.74478626
0.13069896,0.13069896,0.0
15.490767,14.198504,1.2922621
183.16888,178.95168,4.217209
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
74.84614,74.84614,0.0
0.13069896,0.13069896,0.0
0.9153478,0.9153478,0.0
343.1245,353.19952,10.075012
0.13069896,0.13069896,0.0
0.95737725,0.95737725,0.0
89.65097,89.18259,0.4683838
216.57973,216.57973,0.0
403.58093,395.30542,8.275513
633.0588,643.0872,10.028442
0.13069896,0.13069896,0.0
197.52731,205.03119,7.5038757
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
93.25274,97.49521,4.24247
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
0.13069896,0.13069896,0.0
111.2016,114.69077,3.489174
